Current (uA)
64000
63930
63530
63270
63670
63670
63330
63270
63800
63730
63670
63200
63330
63870
63530
63000
63870
63600
63470
63330
63930
63530
63730
63270
63400
63470
63600
63400
63730
63670
63800
63200
63470
63330
63930
63200
63330
63870
63530
63400
63330
63400
63330
63600
63070
63800
63530
63200
63000
63670
63330
63470
62870
63670
63670
63270
63130
63400
63470
63600
63200
63070
63130
63600
62930
62930
63330
63400
63330
63130
63470
63530
63470
62730
63730
63470
63470
62800
63470
63400
63070
63270
63730
63400
63270
63130
63530
63600
63670
63270
63330
63270
63200
63270
63000
63130
63270
63400
62800
63130
63200
63330
62530
63070
63130
63130
63000
63670
63270
63470
63000
63330
63270
63270
63130
63470
63530
63330
63070
63200
63070
62870
62870
62400
63270
63130
63070
63530
63270
63070
63270
63070
63000
63270
63000
62870
63400
63070
63270
62600
63530
63470
62930
63130
63470
63200
63270
62870
63200
63200
63270
63130
63330
63270
63400
62930
62930
63470
63200
63270
62800
63470
63400
63400
62730
63130
63070
63270
63130
63200
63200
63070
62670
63600
63400
62930
62800
63200
63070
63400
63270
63330
63330
63200
62800
62930
63130
63470
62730
62670
63270
63400
63070
62470
63130
63530
62930
62600
63330
62930
63200
62800
63330
63530
63000
62600
62930
63330
63130
62930
63200
63270
63000
62730
62330
63530
63130
62870
62800
63200
63070
63200
62800
63270
62870
63000
62870
63600
63270
62870
62870
63470
63130
63200
62600
63070
63270
63470
62470
62930
63470
63000
63070
62870
63070
63130
62800
62330
63270
63200
63130
62670
63200
63470
62600
62600
63400
63200
63200
62870
63070
62930
63270
62930
63070
63530
62730
63200
63000
63200
63070
63270
63000
63330
62930
63200
63000
63400
62930
63270
62600
63130
63470
62800
62200
63470
63000
62870
62800
63000
63070
63130
62400
63400
63000
63270
62330
63400
63000
63400
62470
62870
62930
63070
62670
62670
63270
63200
62670
62800
63270
63130
62730
62870
63270
63470
62730
62930
63400
63000
62670
62530
63070
63330
62870
62330
63270
63330
63130
62600
63330
63330
63200
62930
62670
63000
63330
63000
62400
62870
63000
62730
62400
63400
62930
62930
62670
63130
63270
62930
62670
63330
63070
62930
62800
63000
63330
62800
62470
62670
62670
62670
62730
62470
63270
63270
63130
63270
63200
63130
62800
63070
63200
63330
63200
62670
63330
63330
63070
62530
62930
62870
62930
62800
62730
63070
62870
62270
63000
62930
63000
62400
62670
62800
63200
62730
62470
63330
62930
62530
62730
63330
62800
63070
62470
63270
63270
63200
62730
63400
63000
62670
62400
62870
62930
62730
62400
62870
62870
62670
62400
62930
63270
63200
63130
63330
63330
63270
63000
62470
63200
63330
62800
62730
62930
62870
62800
62670
63270
63330
63070
62800
62800
62800
62930
62330
63270
62930
62930
62800
62870
63330
63270
62800
62470
62930
62930
63270
62200
63270
63070
62600
62530
63130
63270
63270
62600
63330
63200
62870
62530
63000
63270
63200
62730
63400
63200
63130
62800
62800
62870
62600
62530
62730
63070
63400
63000
62600
62800
62670
62800
62270
63270
63130
63130
62130
62870
63270
62800
62130
63400
63070
62930
62870
62930
63200
63270
62400
63000
62600
62600
62600
63000
63400
62800
62330
62800
62800
63070
62930
63270
62730
62730
62600
62470
63130
63330
62870
62200
62730
62870
63000
62270
63400
62800
63130
62530
62670
62800
63200
62470
63130
63200
62600
62330
62800
63130
63070
62870
62400
62870
63130
62930
62670
63130
63130
62670
62730
63200
62870
62730
62670
63070
63000
62800
62870
63130
63130
62930
62600
62930
63000
62870
62670
63000
63070
63130
62670
62870
62930
63330
62800
62800
63130
62870
62870
62200
62870
62730
62930
62200
63200
63130
62670
62200
63000
62870
62730
62730
63270
62800
62670
62530
63000
63000
62870
62400
62270
62870
62670
62470
62270
63000
63200
63070
62730
63000
63270
63070
62330
62670
62730
62800
62670
62930
63130
63200
62000
62730
63130
63270
62470
62930
62730
63200
62530
63200
62670
63070
62270
62270
62930
62870
62530
62130
63070
62600
62670
62070
63130
62670
62930
62730
62930
63000
63130
62600
62870
63330
63070
62670
62800
63130
62400
62870
63200
62800
62600
63000
62730
63000
63000
62470
62470
63200
62600
63000
62530
62730
63130
62470
62600
62800
63200
62600
62600
63270
62730
62730
62070
63000
62930
63000
62730
63130
62730
62400
62800
63000
63130
62870
62600
62000
63070
62600
62930
62400
63130
62870
62730
62600
62930
62670
62930
62530
62870
63130
62530
62330
63270
62730
62800
62800
62670
63270
62530
62670
63070
62730
63130
62470
62600
63000
62870
62800
62730
62600
63270
62670
62070
63200
62800
63000
62530
63070
62730
62800
62130
62730
63130
62470
62270
62870
62530
63200
62530
62800
63000
62870
62330
62470
62600
63200
62800
62530
63000
62870
62530
62530
63070
62730
62930
62670
62530
63270
62870
62200
62870
62670
63000
62470
63000
62670
62600
62600
63200
63000
62800
62530
63130
63200
62800
62600
62800
63200
62730
62530
62470
63200
62600
62730
62130
62600
63000
62400
62000
63130
62600
63130
62600
63070
63000
63000
62870
63000
62800
62730
62870
62870
62730
63200
62670
62670
62930
63130
62670
63000
62670
62600
62930
62870
62730
62800
62730
62130
62930
63200
62470
62130
62730
63200
62670
62130
62870
62730
62870
62730
62930
63200
62670
62800
62470
62670
62870
62530
62330
62470
63070
62270
62070
62730
63200
62930
62270
62870
62870
62930
62800
62870
62670
63130
62870
63270
62870
62600
62670
63070
62870
62930
62330
62730
63200
63000
62400
62800
63270
63070
62330
62530
63200
62930
62800
62400
63130
62930
62330
62270
63130
63000
62800
62670
63200
63000
62400
62470
62930
62730
62600
62330
62400
63130
62670
62400
62270
63000
62730
62470
62200
62870
62670
63000
62670
62670
62730
62400
62870
62930
62530
63070
62330
63000
62530
63070
62200
62730
63070
62800
62400
63070
62600
63130
62200
62870
63270
62400
62800
63070
62670
62870
62400
62400
63000
63130
62530
62000
63200
62670
62930
62530
63000
63130
62400
62670
63070
63130
62330
62730
62670
63130
62730
62270
62870
62870
63000
62600
63130
62930
62600
62870
62730
62930
63130
62400
62930
62670
63000
62670
62530
62670
63000
62670
62530
62730
63130
62730
62130
62800
63070
62930
62470
